Date,COP,CVX,SPY,XLE,XOM
1999-12-31,7.294689655303955,18.62471580505371,102.4278793334961,18.649471282958984,23.040767669677734
2000-01-03,7.032777786254883,17.979707717895508,101.42538452148438,18.28379249572754,22.397268295288086
2000-01-04,6.896972179412842,17.979707717895508,97.45906829833984,17.939638137817383,21.968271255493164
2000-01-05,6.77086877822876,18.30221176147461,97.63337707519531,18.412858963012695,23.16588592529297
2000-01-06,7.003677845001221,19.081605911254883,96.06430053710938,19.122695922851562,24.363515853881836
2000-01-07,7.003677845001221,19.417543411254883,101.6433334350586,19.327043533325195,24.292015075683594
2000-01-10,6.984276294708252,18.89346694946289,101.99200439453125,19.165719985961914,23.952394485473633
2000-01-11,6.974576950073242,18.718778610229492,100.77164459228516,19.187232971191406,24.02388572692871
2000-01-12,6.838769435882568,18.651592254638672,99.76914978027344,19.1011962890625,23.880887985229492
2000-01-13,6.8484721183776855,18.826284408569336,101.12030792236328,19.434608459472656,24.435014724731445
2000-01-14,6.790269374847412,18.70533561706543,102.49323272705078,19.316295623779297,23.952394485473633
2000-01-18,6.896972179412842,19.202545166015625,101.68695831298828,19.55291175842285,24.238384246826172
2000-01-19,6.838769435882568,18.906904220581055,102.51506042480469,19.488374710083008,24.470762252807617
2000-01-20,6.6447649002075195,18.812833786010742,100.94595336914062,19.488374710083008,23.934511184692383
2000-01-21,6.625361442565918,19.041288375854492,100.72798919677734,20.02613067626953,24.30988121032715
2000-01-24,6.4798583984375,19.09503173828125,97.873046875,19.316295623779297,24.095396041870117
2000-01-25,6.557461261749268,19.041288375854492,98.9845962524414,19.27326774597168,24.041770935058594
2000-01-26,6.392550468444824,18.86659812927246,98.19998931884766,18.972116470336914,23.880887985229492
2000-01-27,6.2858500480651855,18.12752342224121,97.8077392578125,18.58493995666504,23.16588592529297
2000-01-28,6.188846588134766,17.75126075744629,94.75666809082031,18.369834899902344,22.55814552307129
2000-01-31,6.344050884246826,17.979707717895508,97.32828521728516,18.800046920776367,23.702144622802734
2000-02-01,6.314951419830322,17.88563346862793,98.28720092773438,18.75702667236328,23.791528701782227
2000-02-02,6.227644920349121,17.764699935913086,98.37433624267578,18.87533187866211,23.970264434814453
2000-02-03,6.111242294311523,17.509380340576172,99.85626983642578,18.649471282958984,23.559141159057617
2000-02-04,6.053039073944092,16.891244888305664,99.4421615600586,18.111705780029297,23.1301326751709
2000-02-07,6.208245277404785,16.998750686645508,99.28963470458984,18.316055297851562,23.094398498535156
2000-02-08,6.053039073944092,16.837505340576172,100.64083099365234,18.154735565185547,22.576021194458008
2000-02-09,5.917235374450684,16.12529754638672,98.52688598632812,17.55243682861328,22.053247451782227
2000-02-10,5.89783239364624,16.514986038208008,98.72303771972656,17.918115615844727,21.944791793823242
2000-02-11,5.8105292320251465,15.91028881072998,96.71807098388672,17.703012466430664,21.366342544555664
2000-02-14,5.839629650115967,15.869976043701172,97.28469848632812,17.982648849487305,22.107473373413086
2000-02-15,5.9366350173950195,16.662805557250977,98.38520812988281,18.73551368713379,22.938995361328125
2000-02-16,6.2770280838012695,17.015413284301758,96.93600463867188,18.821557998657227,23.13783836364746
2000-02-17,6.2770280838012695,17.001745223999023,96.4347152709961,18.800046920776367,22.52324104309082
2000-02-18,6.157844543457031,16.660070419311523,94.36439514160156,18.25153160095215,21.691720962524414
2000-02-22,6.2075042724609375,16.55074119567871,94.12467193603516,18.09020233154297,21.818260192871094
2000-02-23,5.969136714935303,16.01772689819336,95.23616027832031,17.616973876953125,21.583253860473633
2000-02-24,5.760563850402832,15.621379852294922,93.31835174560547,17.423377990722656,21.059045791625977
2000-02-25,5.859884738922119,15.539373397827148,92.98052215576172,17.0792179107666,20.552907943725586
2000-02-28,5.899611949920654,16.304723739624023,94.93103790283203,17.5954647064209,21.257896423339844
2000-02-29,6.0585246086120605,16.332061767578125,95.8463134765625,18.004159927368164,21.782115936279297
2000-03-01,6.147911548614502,16.45507049560547,96.543701171875,18.455875396728516,21.999019622802734
2000-03-02,6.048590660095215,16.55074119567871,96.60907745361328,18.800046920776367,22.27016830444336
2000-03-03,6.0585246086120605,16.304723739624023,98.41793823242188,18.4988956451416,21.890567779541016
2000-03-06,6.118114948272705,16.181724548339844,97.45906829833984,18.39134979248047,21.095197677612305
2000-03-07,6.435941219329834,17.712430953979492,95.57389068603516,19.660459518432617,23.13783836364746
2000-03-08,6.426009654998779,17.726099014282227,95.45405578613281,19.33780288696289,23.029375076293945
2000-03-09,6.396208763122559,18.20444107055664,98.24359893798828,19.35931396484375,23.264368057250977
2000-03-10,6.316755294799805,17.575761795043945,97.72055053710938,19.1011962890625,22.27918243408203
2000-03-13,6.267096519470215,17.452754974365234,96.65269470214844,18.821557998657227,21.944791793823242
2000-03-14,6.267096519470215,18.1224422454834,95.27971649169922,19.058162689208984,22.342466354370117
2000-03-15,6.35648250579834,18.35478401184082,97.50260925292969,18.972116470336914,22.48708724975586
2000-03-16,6.853085041046143,18.395780563354492,102.057373046875,19.789525985717773,23.065528869628906
2000-03-17,6.58491849899292,18.218114852905273,102.73188781738281,19.18675994873047,22.30632209777832
2000-03-20,6.6047844886779785,18.1361083984375,102.20756530761719,18.884613037109375,21.65556526184082
2000-03-21,6.9126763343811035,18.805789947509766,104.3050308227539,19.488916397094727,22.27016830444336
2000-03-22,6.763698101043701,18.368452072143555,104.93859100341797,19.337844848632812,21.673643112182617
2000-03-23,6.773627281188965,18.5051212310791,106.73020935058594,19.31626319885254,21.83633804321289
